NEO-253,NEO-253_pinout,QFPR64,logo_snk.png
1C1,I,IN			
1C2,I,IN
1C3,I,IN
2C0,I,IN
2C1,I,IN
2C2,I,IN
2C3,I,IN
1Y,O,OUT
2Y,O,OUT
GND,P
3Y,O,OUT
3C0,I,IN
3C1,I,IN
3C2,I,IN
3C3,I,IN
NC
NC
NC
NC
4C0,I,IN
4C1,I,IN
4C2,I,IN
4C3,I,IN
4Y,O,OUT
GND,P
VCC,P
5Y,O,OUT
6Y,O,OUT
5C0,I,IN
5C1,I,IN
5C2,I,IN
5C3,I,IN
6C0,I,IN
6C1,I,IN
6C2,I,IN
6C3,I,IN
7C0,I,IN
7C1,I,IN
7C2,I,IN
7C3,I,IN
7Y,O,OUT
GND,P
8Y,O,OUT
9Y,O,OUT
8C0,I,IN
8C1,I,IN
8C2,I,IN
8C3,I,IN
9C0,I,IN
9C1,I,IN
9C2,I,IN
9C3,I,IN
NC
A,I,IN
B,I,IN
G,I,IN
GND,P
VCC,P
10Y,O,OUT
10C0,I,IN
10C1,I,IN
10C2,I,IN
10C3,I,IN
1C0,I,IN
