YM3016,YM3016_pinout,DIP16,logo_yamaha.png
VCC,P
GND,P
VCC,P
SD,D,IN
CLK,K,IN
FORM,C,IN
SMP2,C,IN
SMP1,C,IN
ICL,?,IN
CH1,?,OUT
CH2,?,OUT
COM,?,IN
TOBUF,?,OUT
MP,?,IN
BC,?,IN
RB,?,OUT
